YEAR,WEEK,% WEIGHTED ILI,REGIONAL ILI BASELINE,Precip,Temp,Temp_off
2005,12,5.919025034,0.7577,12.32689663,-17.76168651,16.53189727
2005,13,5.962287838,0.7577,19.40715433,-11.69735202,18.1538113
2005,14,5.898709018,0.7577,20.32646188,-11.60007184,13.37438671
2005,15,5.740446113,0.7577,13.5850429,-18.75467026,0.979747094
2005,16,5.504923384,0.7577,11.90594841,-20.24036854,-6.033095014
2005,17,5.211998758,0.7577,21.20981794,-9.975094427,-1.501656708
2005,18,4.881471394,0.7577,24.98052744,-4.366056371,-1.749728747
2005,19,4.531291744,0.7577,29.72326784,3.136369165,-0.142476478
2005,20,4.176549274,0.7577,15.72546484,-7.207101101,-16.33341831
2005,21,3.829118432,0.7577,22.70353267,4.221349791,-10.6196664
2005,22,3.497762727,0.7577,19.94646185,6.545498878,-13.79430443
2005,23,3.18850058,0.7577,22.15795404,14.24810802,-11.29457242
2005,24,2.905081974,0.7577,13.18854367,10.91867804,-19.45527642
2005,25,2.649478648,0.7577,8.653801617,11.89075116,-22.87258729
2005,26,2.422335127,0.7577,2.034640874,10.36321134,-28.2837629
2005,27,2.22335826,0.7577,2.951901717,15.69602776,-26.27233369
2005,28,2.051640616,0.7577,2.12889388,18.39237064,-26.28680885
2005,29,1.905922029,0.7577,14.85811498,33.58170088,-13.1582896
2005,30,1.784797192,0.7577,15.33961353,35.36995161,-12.75086149
2005,31,1.68687826,0.7577,3.110699983,23.27553503,-25.52602367
2005,32,1.610921261,0.7577,0.328063603,19.51172472,-29.26059885
2005,33,1.555924546,0.7577,-2.086498207,15.12661685,-32.90691617
2005,34,1.521206745,0.7577,13.02438773,27.46229798,-19.13363726
2005,35,1.506470812,0.7577,7.886321388,18.97162789,-25.50881694
2005,36,1.511859619,0.7577,27.62199501,35.02801305,-6.689825607
2005,37,1.538007172,0.7577,14.35993167,18.01344017,-20.3348678
2005,38,1.58608764,0.7577,21.44396991,21.50738526,-12.91348855
2005,39,1.582506365,0.7577,41.37391817,38.2087473,8.216073569
2005,40,1.656030556,0.88594986,17.42462512,11.53961723,-13.58851339
2005,41,1.813002312,0.88594986,24.31157146,16.30025771,-3.59775769
2005,42,2.069648667,0.88594986,16.21826024,6.691441109,-7.68697636
2005,43,2.453478245,0.88594986,21.73066856,11.24980409,2.600166378
2005,44,3.005413719,0.88594986,13.27511069,2.292458665,-0.50256158
2005,45,3.781643386,0.88594986,15.28492905,4.095668365,7.195928435
2005,46,4.852842683,0.88594986,10.51069495,-0.778780993,8.171655814
2005,47,6.295942907,0.88594986,3.260338877,-8.224504263,6.445895456
2005,48,8.170298408,0.88594986,6.737484934,-5.232103109,14.94482984
2005,49,10.46882547,0.88594986,9.677250096,-3.233895099,22.15603059
2005,50,13.04416207,0.88594986,11.42676513,-3.006218345,27.2273193
2005,51,15.54325488,0.88594986,-3.862860531,-20.46408413,14.17321827
2005,52,17.43508044,0.88594986,2.141031193,-17.27518975,21.2619628
2006,1,18.21296233,0.88594986,10.38641403,-12.42345187,29.4529
2006,2,17.69404815,0.88594986,0.928821646,-25.72004689,18.88627368
